	url	title
0	/wiki/Battle_of_Banquan	Battle of Banquan
1	/wiki/Battle_of_Zhuolu	Battle of Zhuolu
2	/wiki/Battle_of_Uruk	Battle of Uruk
3	/wiki/Battle_of_Mingtiao	Battle of Mingtiao
4	/wiki/Battle_of_the_Ten_Kings	Battle of the Ten Kings
5	/wiki/Battle_of_Megiddo_(15th_century_BC)	Battle of Megiddo (15th century BC)
6	/wiki/Battle_of_Jericho	Battle of Jericho
8	/wiki/Battle_at_Gibeah	Battle at Gibeah
9	/wiki/Battle_of_Kadesh	Battle of Kadesh
10	/wiki/Siege_of_Dapur	Siege of Dapur
11	/wiki/Battle_of_Nihriya	Battle of Nihriya
12	/wiki/Siege_of_Troy	Siege of Troy
13	/wiki/Battle_of_Djahy	Battle of Djahy
14	/wiki/Battle_of_the_Delta	Battle of the Delta
15	/wiki/Battle_of_Mount_Tabor_(biblical)	Battle of Mount Tabor (biblical)
16	/wiki/Battle_of_Muye	Battle of Muye
17	/wiki/Battle_of_Michmash	Battle of Michmash
19	/wiki/Battle_of_Bitter_Lakes	Battle of Bitter Lakes
20	/wiki/Battle_of_Mount_Zemaraim	Battle of Mount Zemaraim
21	/wiki/Battle_of_Suru	Battle of Suru
22	/wiki/Battle_of_Karkar	Battle of Karkar
23	/wiki/Battle_of_Dur-Papsukkal	Battle of Dur-Papsukkal
24	/wiki/Siege_of_Gezer_(c.733_BC)	Siege of Gezer (c.733 BC)
25	/wiki/Battle_of_Xuge	Battle of Xuge
26	/wiki/Siege_of_Azekah	Siege of Azekah
27	/wiki/Siege_of_Lachish	Siege of Lachish
28	/wiki/Siege_of_Jerusalem_(701_BC)	Siege of Jerusalem (701 BC)
29	/wiki/Battle_of_Diyala_River	Battle of Diyala River
30	/wiki/Battle_of_Halule	Battle of Halule
31	/wiki/Siege_of_Babylon	Siege of Babylon
32	/wiki/Battle_of_Deres	Battle of Deres
33	/wiki/Battle_of_the_Great_Foss	Battle of the Great Foss
34	/wiki/Battle_of_Hysiae_(669_BC)	Battle of Hysiae (669 BC)
35	/wiki/Battle_of_Ulai	Battle of Ulai
36	/wiki/Battle_of_Susa	Battle of Susa
37	/wiki/Fall_of_Ashdod	Fall of Ashdod
38	/wiki/Battle_of_Chengpu	Battle of Chengpu
40	/wiki/Battle_of_Arrapha	Battle of Arrapha
41	/wiki/Fall_of_Tarbisu	Fall of Tarbisu
42	/wiki/Fall_of_Assur	Fall of Assur
43	/wiki/Battle_of_Nineveh_(612_BC)	Battle of Nineveh (612 BC)
44	/wiki/Battle_of_Megiddo_(609_BC)	Battle of Megiddo (609 BC)
45	/wiki/Fall_of_Harran	Fall of Harran
46	/wiki/Battle_of_Carchemish	Battle of Carchemish
47	/wiki/Battle_of_Hamath	Battle of Hamath
48	/wiki/Siege_of_Jerusalem_(597_BC)	Siege of Jerusalem (597 BC)
49	/wiki/Battle_of_Bi	Battle of Bi
50	/wiki/Battle_of_An	Battle of An
51	/wiki/Siege_of_Jerusalem_(587_BC)	Siege of Jerusalem (587 BC)
52	/wiki/Battle_of_Halys_(585_BC)	Battle of Halys (585 BC)
53	/wiki/Siege_of_Kirrha	Siege of Kirrha
54	/wiki/Battle_of_Yanling	Battle of Yanling
55	/wiki/Battle_of_the_Median_Border	Battle of the Median Border
56	/wiki/Battle_of_Hyrba	Battle of Hyrba
57	/wiki/Battle_of_the_Fetters	Battle of the Fetters
58	/wiki/Battle_of_Pasargadae	Battle of Pasargadae
59	/wiki/Battle_of_Pteria	Battle of Pteria
60	/wiki/Battle_of_Thymbra	Battle of Thymbra
61	/wiki/Siege_of_Sardis_(547_BC)	Siege of Sardis (547 BC)
62	/wiki/Battle_of_The_300_Champions	Battle of The 300 Champions
63	/wiki/Battle_of_Alalia	Battle of Alalia
64	/wiki/Battle_of_Opis	Battle of Opis
65	/wiki/Battle_of_Pelusium_(525_BC)	Battle of Pelusium (525 BC)
66	/wiki/Battle_of_Silva_Arsia	Battle of Silva Arsia
67	/wiki/Siege_of_Rome_(508_BC)	Siege of Rome (508 BC)
68	/wiki/Battle_of_Bai_ju	Battle of Bai ju
69	/wiki/Siege_of_Naxos_(499_BC)	Siege of Naxos (499 BC)
70	/wiki/Battle_of_Ephesus_(498_BC)	Battle of Ephesus (498 BC)
71	/wiki/Battle_of_Lake_Regillus	Battle of Lake Regillus
72	/wiki/Battle_of_Lade	Battle of Lade
73	/wiki/Battle_of_Sepeia	Battle of Sepeia
74	/wiki/Siege_of_Eretria	Siege of Eretria
75	/wiki/Battle_of_Marathon	Battle of Marathon
76	/wiki/Battle_of_Thermopylae	Battle of Thermopylae
77	/wiki/Battle_of_Artemisium	Battle of Artemisium
78	/wiki/Battle_of_Salamis	Battle of Salamis
79	/wiki/Battle_of_Himera_(480_BC)	Battle of Himera (480 BC)
80	/wiki/Battle_of_Plataea	Battle of Plataea
81	/wiki/Battle_of_Mycale	Battle of Mycale
82	/wiki/Siege_of_Byzantium_(478_BC)	Siege of Byzantium (478 BC)
83	/wiki/Battle_of_Lize	Battle of Lize
84	/wiki/Battle_of_the_Cremera	Battle of the Cremera
85	/wiki/Battle_of_Cumae	Battle of Cumae
86	/wiki/Battle_of_the_Eurymedon	Battle of the Eurymedon
87	/wiki/Battle_of_Mount_Algidus	Battle of Mount Algidus
88	/wiki/Battle_of_Aegina	Battle of Aegina
89	/wiki/Battle_of_Tanagra_(457_BC)	Battle of Tanagra (457 BC)
90	/wiki/Battle_of_Oenophyta	Battle of Oenophyta
91	/wiki/Siege_of_Prosoptis	Siege of Prosoptis
92	/wiki/Battle_of_Jinyang	Battle of Jinyang
93	/wiki/Siege_of_Citium	Siege of Citium
94	/wiki/Battle_of_Salamis_(in_Cyprus)	Battle of Salamis (in Cyprus)
95	/wiki/Battle_of_Coronea_(447_BC)	Battle of Coronea (447 BC)
96	/wiki/Battle_of_Corbio	Battle of Corbio
97	/wiki/Capture_of_Fidenae_(435_BC)	Capture of Fidenae (435 BC)
98	/wiki/Battle_of_Sybota	Battle of Sybota
99	/wiki/Battle_of_Potidaea	Battle of Potidaea
100	/wiki/Battle_of_Spartolos	Battle of Spartolos
101	/wiki/Battle_of_Rhium	Battle of Rhium
102	/wiki/Battle_of_Naupactus_(429_BC)	Battle of Naupactus (429 BC)
103	/wiki/Battle_of_Tanagra_(426_BC)	Battle of Tanagra (426 BC)
104	/wiki/Battle_of_Olpae	Battle of Olpae
105	/wiki/Battle_of_Idomene	Battle of Idomene
106	/wiki/Battle_of_Pylos	Battle of Pylos
107	/wiki/Battle_of_Sphacteria	Battle of Sphacteria
108	/wiki/Battle_of_Megara	Battle of Megara
109	/wiki/Battle_of_Delium	Battle of Delium
110	/wiki/Battle_of_Amphipolis	Battle of Amphipolis
111	/wiki/Battle_of_Mantinea_(418_BC)	Battle of Mantinea (418 BC)
112	/wiki/Battle_of_Hysiae_(417_BC)	Battle of Hysiae (417 BC)
113	/wiki/Battle_of_Melos	Battle of Melos
114	/wiki/Battle_of_Syracuse_(415_BC)	Battle of Syracuse (415 BC)
115	/wiki/Battle_of_Eretria	Battle of Eretria
116	/wiki/Battle_of_Syme	Battle of Syme
117	/wiki/Battle_of_Cynossema	Battle of Cynossema
118	/wiki/Battle_of_Cyzicus	Battle of Cyzicus
119	/wiki/Battle_of_Abydos	Battle of Abydos
120	/wiki/Battle_of_Selinus	Battle of Selinus
121	/wiki/Battle_of_Himera_(409_BC)	Battle of Himera (409 BC)
122	/wiki/Battle_of_Notium	Battle of Notium
123	/wiki/Battle_of_Mytilene_(406_BC)	Battle of Mytilene (406 BC)
124	/wiki/Battle_of_Arginusae	Battle of Arginusae
125	/wiki/Siege_of_Akragas_(406_BC)	Siege of Akragas (406 BC)
126	/wiki/Battle_of_Gela_(405_BC)	Battle of Gela (405 BC)
127	/wiki/Battle_of_Aegospotami	Battle of Aegospotami
128	/wiki/Battle_of_Phyle	Battle of Phyle
129	/wiki/Battle_of_Munychia	Battle of Munychia
130	/wiki/Battle_of_Piraeus	Battle of Piraeus
131	/wiki/Battle_of_Cunaxa	Battle of Cunaxa
132	/wiki/Siege_of_Motya	Siege of Motya
133	/wiki/Battle_of_Messene	Battle of Messene
134	/wiki/Battle_of_Catana_(397_BC)	Battle of Catana (397 BC)
135	/wiki/Siege_of_Syracuse_(397_BC)	Siege of Syracuse (397 BC)
136	/wiki/Battle_of_Veii	Battle of Veii
137	/wiki/Battle_of_Haliartus	Battle of Haliartus
138	/wiki/Battle_of_Nemea_(394_BC)	Battle of Nemea (394 BC)
139	/wiki/Battle_of_Cnidus	Battle of Cnidus
140	/wiki/Battle_of_Coronea_(394_BC)	Battle of Coronea (394 BC)
